"","systematic","buffering"
"logistic",0.881161190053286,0.904121529074835
"LDA",0.882992895204263,0.907408790935126
"QDA",0.893927619893428,0.884995641887685
"Naive Bayes",0.848051731793961,0.82395716598182
"knn",0.95343028419183,0.934603411779355
"Random Forest",0.962422291296625,0.959506910720956
"Adaboost",0.954096358792185,0.941103225003113
