"","acc","mtry","ntree"
"1",0.930367451154529,2,1
"2",0.952070381882771,2,5
"3",0.958092806394316,2,10
"4",0.959036412078153,2,20
"5",0.961506438721137,2,50
"6",0.962672069271758,2,100
"7",0.962339031971581,2,200
"8",0.962450044404973,2,500
"9",0.962561056838366,2,1000
"10",0.962727575488455,2,2000
"11",0.962339031971581,2,3000
"12",0.931033525754885,3,1
"13",0.952542184724689,3,5
"14",0.957870781527531,3,10
"15",0.960257548845471,3,20
"16",0.961090142095915,3,50
"17",0.962255772646536,3,100
"18",0.962533303730018,3,200
"19",0.96250555062167,3,500
"20",0.96250555062167,3,1000
"21",0.962422291296625,3,2000
"22",0.962422291296625,3,3000
"23",0.93466918294849,4,1
"24",0.952542184724689,4,5
"25",0.957371225577265,4,10
"26",0.960701598579041,4,20
"27",0.961423179396092,4,50
"28",0.962727575488455,4,100
"29",0.962810834813499,4,200
"30",0.962755328596803,4,500
"31",0.962533303730018,4,1000
"32",0.962450044404973,4,2000
"33",0.96250555062167,4,3000
"34",0.933808836589698,8,1
"35",0.953458037300178,8,5
"36",0.954901198934281,8,10
"37",0.957981793960924,8,20
"38",0.959508214920071,8,50
"39",0.960368561278863,8,100
"40",0.959869005328597,8,200
"41",0.96011878330373,8,500
"42",0.960313055062167,8,1000
"43",0.96011878330373,8,2000
"44",0.960229795737123,8,3000
