"","acc","mtry","ntree"
"1",0.929921553978334,2,1
"2",0.950317519611505,2,5
"3",0.9524094135226,2,10
"4",0.953878719960154,2,20
"5",0.958087411281285,2,50
"6",0.957987797285519,2,100
"7",0.958610384759059,2,200
"8",0.958859419748475,2,500
"9",0.959208068733657,2,1000
"10",0.959133358236832,2,2000
"11",0.958734902253767,2,3000
"12",0.933134105341801,3,1
"13",0.948898020171834,3,5
"14",0.953281035985556,3,10
"15",0.955597061387125,3,20
"16",0.958286639272818,3,50
"17",0.958460963765409,3,100
"18",0.959681235213548,3,200
"19",0.959531814219898,3,500
"20",0.959457103723073,3,1000
"21",0.959706138712489,3,2000
"22",0.959656331714606,3,3000
"23",0.933034491346034,4,1
"24",0.948126011704645,4,5
"25",0.952235089030009,4,10
"26",0.957165981820446,4,20
"27",0.958560577761175,4,50
"28",0.958759805752708,4,100
"29",0.958959033744241,4,200
"30",0.959332586228365,4,500
"31",0.959482007222015,4,1000
"32",0.959432200224131,4,2000
"33",0.959531814219898,4,3000
"34",0.931913833893662,8,1
"35",0.949246669157017,8,5
"36",0.952185282032125,8,10
"37",0.953853816461213,8,20
"38",0.956667911841614,8,50
"39",0.957091271323621,8,100
"40",0.957888183289752,8,200
"41",0.957589341302453,8,500
"42",0.957738762296103,8,1000
"43",0.957614244801395,8,2000
"44",0.957813472792927,8,3000
